name;				"Name"
description;		"Description"
note;				"Notiz"
sortingAbbreviated;	"Sort"
order;				"Sortiernummer"
save;				"Speichern"
cancel;				"Abbrechen"
overview;			"Übersicht"
editMenu;			"Menüpunkt bearbeiten"
detailMenu;			"Menüpunkt Detail"
menuId;				"ID"
function;			"Funktion"
active;				"aktiv"
edit;				"Bearbeiten"
delete;				"Löschen"
activate;			"Aktivieren"
menuDeactivateSuccess; "Menü erfolgreich deaktiviert"
menuActivateSuccess;	"Menü erfolgreich aktiviert"

numberOfResults;	"Anzahl der Ergebnisse:"

menuUpdateSuccess; 	"Menüpunkt wurde erfolgreich bearbeitet."
menuUpdateFailed; 	"Menüpunkt konnte nicht bearbeitet werden."

areYouSureDeactivate;	"Wollen Sie den Menüpunkt wirklich deaktivieren?"
areYouSureActivate;		"Wollen Sie den Menüpunkt wirklich aktivieren?"